n	p
10000	0.164
20000	0.16715
30000	0.1685
40000	0.168875
50000	0.16868
60000	0.16936666666666667
70000	0.1688
80000	0.1679375
90000	0.16755555555555557
100000	0.1681
110000	0.1678090909090909
120000	0.16838333333333333
130000	0.16810769230769232
140000	0.16783571428571428
150000	0.16772666666666666
160000	0.1675375
170000	0.16751764705882352
180000	0.16735555555555556
190000	0.1672
200000	0.167355
210000	0.16722857142857142
220000	0.16719545454545454
230000	0.16737391304347826
240000	0.16751666666666667
250000	0.167568
260000	0.16762307692307693
270000	0.1675185185185185
280000	0.16760714285714284
290000	0.16727586206896553
300000	0.16725666666666666
310000	0.16729677419354838
320000	0.16710625
330000	0.16707575757575757
340000	0.16710882352941175
350000	0.16697142857142858
360000	0.16670833333333332
370000	0.1665891891891892
380000	0.16652105263157896
390000	0.16655641025641027
400000	0.1665175
410000	0.1665439024390244
420000	0.16652380952380952
430000	0.1664720930232558
440000	0.16621363636363637
450000	0.1662488888888889
460000	0.1663086956521739
470000	0.1664340425531915
480000	0.16663333333333333
490000	0.16661836734693877
500000	0.166594
510000	0.16665686274509803
520000	0.16660769230769232
530000	0.16663962264150944
540000	0.1667685185185185
550000	0.1667490909090909
560000	0.16657857142857144
570000	0.16648070175438595
580000	0.16656724137931034
590000	0.16656610169491526
600000	0.16657166666666667
610000	0.1665688524590164
620000	0.16668548387096774
630000	0.16666349206349207
640000	0.1666109375
650000	0.1666153846153846
660000	0.16662424242424242
670000	0.16668955223880597
680000	0.1666235294117647
690000	0.16654927536231884
700000	0.16659285714285715
710000	0.1666056338028169
720000	0.1666513888888889
730000	0.1664821917808219
740000	0.1664310810810811
750000	0.16647066666666666
760000	0.16643552631578948
770000	0.16645064935064935
780000	0.16648333333333334
790000	0.16646708860759493
800000	0.16648625
810000	0.16647777777777778
820000	0.16637926829268293
830000	0.16635060240963856
840000	0.1663202380952381
850000	0.16632588235294118
860000	0.16631976744186047
870000	0.16635057471264367
880000	0.16636136363636364
890000	0.1663808988764045
900000	0.16634444444444443
910000	0.16632087912087912
920000	0.1663108695652174
930000	0.16626989247311827
940000	0.16633085106382978
950000	0.16632736842105264
960000	0.16635
970000	0.1663639175257732
980000	0.16635204081632654
990000	0.16642020202020202
1000000	0.166322
